location_id,formattedAddress,addressLine1,addressLine2,county,zipCode,city,state,latitude,longitude
58,"1430 2nd ave, seattle, wa 98101",1430 2nd Ave,Unknown,King,98101,Seattle,WA,47.609133,-122.3383
59,"14200 linden ave n, seattle, wa 98133",14200 Linden Ave N,Unknown,King,98133,Seattle,WA,47.73198,-122.34751
60,"1850 n 34th st, seattle, wa 98103",1850 N 34th St,Unknown,King,98103,Seattle,WA,47.64823,-122.33596
61,"403 dexter ave n, seattle, wa 98109",403 Dexter Ave N,Unknown,King,98109,Seattle,WA,47.622433,-122.342766
62,"10711 meridian ave n, seattle, wa 98133",10711 Meridian Ave N,Unknown,King,98133,Seattle,WA,47.70734,-122.334625
63,"10541 stone ave n, seattle, wa 98133",10541 Stone Ave N,Unknown,King County,98133,Seattle,WA,47.706243,-122.342417
64,"8500 20th ave ne, seattle, wa 98115",8500 20th Ave NE,Unknown,King,98115,Seattle,WA,47.690533,-122.306473
65,"15135 stone ln n, seattle, wa 98133",15135 Stone Ln N,Unknown,King County,98133,Seattle,WA,47.737753,-122.34216
66,"101 6th ave s, seattle, wa 98104",101 6th Ave S,Unknown,King,98104,Seattle,WA,47.601379,-122.326637
67,"105 warren ave n, seattle, wa 98109",105 Warren Ave N,Unknown,King,98109,Seattle,WA,47.61879,-122.35451
68,"2525 14th ave s, seattle, wa 98144",2525 14th Ave S,Unknown,King County,98144,Seattle,WA,47.580246,-122.315423
69,"2641 42nd ave sw, seattle, wa 98116",2641 42nd Ave SW,Unknown,King,98116,Seattle,WA,47.57981,-122.38554
70,"337 ne 103rd st, seattle, wa 98125",337 Ne 103rd St,Unknown,King,98125,Seattle,WA,47.70219,-122.325
71,"union st @ 23rd ave, seattle, wa 98122",Union St @ 23rd Ave,Unknown,King County,98122,Seattle,WA,47.61332,-122.30319
72,"527 eastlake ave e, seattle, wa 98109",527 Eastlake Ave E,Unknown,King,98109,Seattle,WA,47.623976,-122.329526
73,"118 republican st, seattle, wa 98109",118 Republican St,Unknown,King,98109,Seattle,WA,47.62369,-122.35478
74,"170 11th ave, seattle, wa 98122",170 11th Ave,Unknown,King,98122,Seattle,WA,47.603352,-122.317726
75,"1255 harrison st, seattle, wa 98109",1255 Harrison St,Unknown,King,98109,Seattle,WA,47.621605,-122.331131
76,"2237 n 106th st, seattle, wa 98133",2237 N 106th St,Unknown,King,98133,Seattle,WA,47.705418,-122.331032
77,"1414 10th ave, seattle, wa 98122",1414 10th Ave,Unknown,King,98122,Seattle,WA,47.61328,-122.31879
78,"103 12th ave, seattle, wa 98122",103 12th Ave,Unknown,King County,98122,Seattle,WA,47.601853,-122.317195
79,"4726 11th ave ne, seattle, wa 98105",4726 11th Ave NE,Unknown,King,98105,Seattle,WA,47.663897,-122.316023
80,"829 ne 67th st, seattle, wa 98115",829 Ne 67th St,Unknown,King,98115,Seattle,WA,47.677086,-122.31881
81,"3801 stone way n, seattle, wa 98103",3801 Stone Way N,Unknown,King,98103,Seattle,WA,47.65299,-122.343036
82,"910 john st, seattle, wa 98109",910 John St,Unknown,King,98109,Seattle,WA,47.619911,-122.339386
83,"229 queen anne ave n, seattle, wa 98109",229 Queen Anne Ave N,Unknown,King,98109,Seattle,WA,47.620687,-122.357117
84,"8551 greenwood ave n, seattle, wa 98103",8551 Greenwood Ave N,Unknown,King,98103,Seattle,WA,47.692089,-122.355721
85,"3800 aurora ave n, seattle, wa 98103",3800 Aurora Ave N,Unknown,King County,98103,Seattle,WA,47.65306,-122.346899
86,"905 dexter ave n, seattle, wa 98109",905 Dexter Ave N,Unknown,King,98109,Seattle,WA,47.62772,-122.34271
87,"1942 westlake ave, apt 1942, seattle, wa 98101",1942 Westlake Ave,Apt 1942,King County,98101,Seattle,WA,47.61459,-122.33718
88,"915 e spruce st, seattle, wa 98104",915 E Spruce St,Unknown,King County,98104,Seattle,WA,47.60318,-122.31974
89,"241 yale ave n, seattle, wa 98109",241 Yale Ave N,Unknown,King,98109,Seattle,WA,47.62051,-122.33135
90,"3520 27th pl w, seattle, wa 98199",3520 27th Pl W,Unknown,King,98199,Seattle,WA,47.65261,-122.39029
91,"2401 3rd ave, seattle, wa 98121",2401 3rd Ave,Unknown,King,98121,Seattle,WA,47.61546,-122.34658
92,"1425 spring st, seattle, wa 98104",1425 Spring St,Unknown,King,98104,Seattle,WA,47.61143,-122.32122
93,"4555 39th ave sw, seattle, wa 98116",4555 39th Ave SW,Unknown,King,98116,Seattle,WA,47.56137,-122.38232
94,"4710 20th ave ne, seattle, wa 98105",4710 20th Ave NE,Unknown,King,98105,Seattle,WA,47.663548,-122.306188
